period,area,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h,,,,,,,,,,,,,,,,
(level1),YR,-34.4%,-35.1%,-33.7%,-33.0%,-7.5%,-7.5%,-53.1%,-54.0%,62.0%,46.1%,67.2%,57.9%,-21.5%,-20.8%,,,,,,,,,,,,,,,,
(level2),YR,-47.9%,-46.6%,-28.7%,-27.4%,3.1%,3.1%,-25.5%,-27.7%,68.9%,65.7%,74.5%,68.1%,-24.8%,-23.9%,,,,,,,,,,,,,,,,
(level3),YR,-43.4%,-43.6%,-16.0%,-16.8%,20.9%,18.5%,-3.4%,-6.3%,99.0%,106.5%,94.4%,86.7%,-31.6%,-31.0%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(level1),TP,-23.8%,-26.2%,-8.7%,-9.4%,-9.4%,-10.5%,-41.2%,-42.1%,12.7%,4.4%,12.3%,10.9%,-15.6%,-16.6%,,,,,,,,,,,,,,,,
(level2),TP,-32.2%,-32.7%,-3.3%,-2.0%,-19.5%,-20.3%,-36.9%,-37.2%,24.7%,13.2%,23.6%,22.2%,-29.1%,-28.8%,,,,,,,,,,,,,,,,
(level3),TP,-20.7%,-22.5%,21.7%,20.3%,-24.1%,-24.2%,-26.2%,-28.4%,25.5%,15.5%,25.4%,25.0%,-33.8%,-34.5%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(level1),SC,-17.7%,-19.3%,-21.3%,-23.9%,-17.4%,-17.5%,-53.2%,-53.6%,48.4%,28.1%,49.8%,44.6%,-23.3%,-23.3%,,,,,,,,,,,,,,,,
(level2),SC,-26.1%,-27.0%,-12.8%,-14.9%,-0.8%,-1.6%,-19.7%,-21.2%,63.1%,52.2%,65.1%,62.8%,-25.7%,-25.9%,,,,,,,,,,,,,,,,
(level3),SC,-24.6%,-24.5%,-6.1%,-7.8%,13.4%,12.2%,-6.1%,-4.8%,99.9%,87.1%,94.0%,89.7%,-29.1%,-28.8%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(level1),PR,-17.0%,-18.2%,-27.5%,-30.4%,-23.2%,-24.0%,-49.1%,-50.2%,11.9%,-4.8%,12.6%,8.7%,-20.6%,-20.9%,,,,,,,,,,,,,,,,
(level2),PR,-16.0%,-17.1%,-14.9%,-16.5%,-11.1%,-12.1%,-19.0%,-20.5%,7.3%,-2.5%,7.8%,7.2%,-15.0%,-15.7%,,,,,,,,,,,,,,,,
(level3),PR,-5.4%,-6.8%,-2.5%,-4.7%,5.2%,3.8%,-3.1%,-4.7%,23.2%,15.1%,24.2%,23.1%,-13.0%,-13.1%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(level1),NW,-28.7%,-28.3%,-1.8%,-2.4%,-5.7%,-7.0%,-44.0%,-44.3%,55.2%,40.3%,54.1%,49.4%,-20.5%,-21.7%,,,,,,,,,,,,,,,,
(level2),NW,-43.2%,-42.7%,21.5%,20.4%,-31.9%,-32.4%,-50.0%,-50.5%,62.4%,45.4%,61.1%,56.3%,-52.3%,-52.8%,,,,,,,,,,,,,,,,
(level3),NW,-36.3%,-35.7%,48.9%,55.7%,-41.1%,-42.3%,-46.1%,-47.6%,79.2%,60.7%,76.9%,71.6%,-61.5%,-62.1%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(level1),NEC,-33.0%,-32.3%,-31.4%,-30.5%,-23.0%,-22.1%,-49.1%,-49.1%,47.8%,25.4%,47.3%,40.4%,-27.6%,-27.8%,,,,,,,,,,,,,,,,
(level2),NEC,-59.0%,-58.6%,-47.3%,-47.0%,-46.9%,-45.9%,-54.6%,-54.1%,68.3%,43.5%,67.3%,59.7%,-47.4%,-47.1%,,,,,,,,,,,,,,,,
(level3),NEC,-19.3%,-21.1%,-6.7%,-8.5%,-43.6%,-43.2%,-34.9%,-36.7%,86.2%,79.5%,85.4%,78.6%,-37.9%,-38.9%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(level1),NCP,-34.7%,-32.6%,-31.6%,-30.3%,-27.5%,-27.3%,-53.0%,-53.0%,75.6%,42.4%,75.8%,67.7%,-32.0%,-31.4%,,,,,,,,,,,,,,,,
(level2),NCP,-58.9%,-57.8%,-37.5%,-36.4%,-41.8%,-41.7%,-39.8%,-40.5%,85.6%,56.7%,84.0%,77.7%,-51.8%,-51.5%,,,,,,,,,,,,,,,,
(level3),NCP,-60.3%,-59.7%,-34.9%,-34.5%,-40.3%,-41.4%,-32.0%,-33.3%,113.4%,85.0%,107.1%,99.5%,-53.4%,-53.9%,,,,,,,,,,,,,,,,
